Year,Land,Land and Ocean,N Hem,S Hem,Band 1,Band 2,Band 3
1919,-0.16,-0.29,-0.34,-0.24,-0.43,-0.19,-0.27
1920,-0.26,-0.27,-0.27,-0.27,-0.19,-0.31,-0.29
1921,-0.13,-0.20,-0.10,-0.31,0.04,-0.31,-0.31
1922,-0.18,-0.29,-0.25,-0.33,-0.19,-0.33,-0.32
1923,-0.21,-0.25,-0.19,-0.31,-0.09,-0.31,-0.34
1924,-0.18,-0.24,-0.13,-0.35,-0.07,-0.23,-0.42
1925,-0.21,-0.21,-0.10,-0.33,0.01,-0.25,-0.39
1926,-0.02,-0.09,0.04,-0.22,0.05,0.01,-0.37
1927,-0.15,-0.18,-0.09,-0.28,-0.09,-0.13,-0.35
1928,-0.10,-0.16,-0.05,-0.28,-0.01,-0.13,-0.37
1929,-0.31,-0.31,-0.27,-0.36,-0.30,-0.25,-0.41
1930,-0.14,-0.12,0.06,-0.30,0.13,-0.10,-0.39
1931,-0.06,-0.07,0.09,-0.23,0.08,0.06,-0.40
1932,-0.10,-0.11,0.03,-0.24,0.12,-0.12,-0.31
1933,-0.25,-0.25,-0.21,-0.29,-0.20,-0.24,-0.31
1934,-0.10,-0.09,0.04,-0.23,0.21,-0.22,-0.23
1935,-0.21,-0.15,-0.04,-0.25,0.01,-0.16,-0.29
1936,-0.08,-0.10,0.01,-0.21,0.01,-0.09,-0.23
1937,0.03,0.03,0.18,-0.12,0.24,0.02,-0.16
1938,0.09,0.06,0.22,-0.11,0.43,-0.13,-0.07
1939,-0.10,0.01,0.13,-0.12,0.29,-0.12,-0.11
1940,0.08,0.07,0.14,-0.01,0.12,0.16,-0.11
1941,0.06,0.08,0.13,0.03,-0.03,0.32,-0.13
1942,0.07,0.05,0.11,-0.01,0.11,0.09,-0.05
1943,0.01,0.06,0.17,-0.06,0.37,-0.11,-0.03
1944,0.06,0.14,0.24,0.03,0.38,0.08,-0.02
1945,-0.06,0.01,0.04,-0.03,0.07,0.03,-0.09
1946,-0.05,-0.07,0.01,-0.16,0.05,-0.10,-0.15
1947,0.08,-0.04,0.08,-0.16,0.16,-0.09,-0.18
1948,-0.06,-0.10,-0.01,-0.19,0.13,-0.20,-0.20
1949,-0.10,-0.11,-0.03,-0.19,0.10,-0.20,-0.20
1950,-0.21,-0.19,-0.17,-0.20,-0.08,-0.29,-0.15
1951,-0.06,-0.06,0.06,-0.18,0.09,-0.06,-0.21
1952,-0.01,0.02,0.06,-0.03,0.10,0.01,-0.06
1953,0.08,0.09,0.23,-0.05,0.35,0.05,-0.12
1954,-0.12,-0.11,-0.03,-0.20,0.04,-0.20,-0.16
1955,-0.11,-0.12,-0.09,-0.16,0.04,-0.32,-0.02
1956,-0.22,-0.18,-0.24,-0.12,-0.22,-0.31,0.04
1957,0.03,0.03,0.04,0.02,0.03,0.06,-0.01
1958,0.07,0.05,0.15,-0.06,0.09,0.18,-0.18
1959,0.04,0.03,0.10,-0.05,0.14,0.06,-0.14
1960,-0.02,-0.04,0.07,-0.15,0.09,0.00,-0.22
1961,0.08,0.05,0.09,0.02,0.17,-0.02,0.03
1962,0.02,0.04,0.17,-0.09,0.28,0.00,-0.15
1963,0.02,0.08,0.17,-0.02,0.17,0.15,-0.11
1964,-0.25,-0.19,-0.19,-0.20,-0.25,-0.12,-0.25
1965,-0.16,-0.10,-0.13,-0.08,-0.17,-0.03,-0.14
1966,-0.06,-0.04,0.00,-0.08,-0.12,0.08,-0.12
1967,-0.00,-0.01,0.04,-0.05,0.12,-0.11,0.00
1968,-0.08,-0.05,-0.04,-0.06,-0.08,-0.02,-0.06
1969,0.02,0.06,-0.01,0.14,-0.25,0.32,0.03
1970,0.07,0.04,-0.03,0.11,-0.10,0.08,0.13
1971,-0.09,-0.07,-0.13,0.00,-0.04,-0.22,0.11
1972,-0.04,0.02,-0.17,0.21,-0.34,0.17,0.17
1973,0.21,0.15,0.11,0.20,0.12,0.17,0.16
1974,-0.05,-0.07,-0.20,0.05,-0.17,-0.19,0.19
1975,0.01,-0.01,-0.05,0.02,0.11,-0.23,0.14
1976,-0.19,-0.12,-0.23,-0.02,-0.27,-0.12,0.02
1977,0.19,0.14,0.10,0.19,0.12,0.12,0.21
1978,0.13,0.05,-0.01,0.12,-0.05,0.05,0.17
1979,0.18,0.11,0.04,0.19,-0.05,0.20,0.17
1980,0.33,0.22,0.13,0.32,0.04,0.24,0.38
1981,0.42,0.28,0.35,0.21,0.48,0.13,0.27
1982,0.12,0.09,0.03,0.15,-0.08,0.22,0.07
1983,0.36,0.27,0.23,0.30,0.22,0.38,0.17
1984,0.19,0.11,0.01,0.22,0.00,0.14,0.20
1985,0.18,0.08,-0.03,0.18,-0.05,0.06,0.22
1986,0.22,0.14,0.10,0.18,0.08,0.18,0.14
1987,0.38,0.28,0.23,0.33,0.04,0.52,0.19
1988,0.48,0.35,0.33,0.37,0.38,0.32,0.36
1989,0.35,0.24,0.25,0.22,0.39,0.10,0.26
1990,0.50,0.39,0.47,0.30,0.58,0.31,0.29
1991,0.50,0.38,0.38,0.37,0.43,0.34,0.37
1992,0.21,0.19,0.09,0.28,0.05,0.25,0.23
1993,0.25,0.20,0.17,0.24,0.12,0.28,0.18
1994,0.36,0.28,0.35,0.21,0.42,0.28,0.14
1995,0.54,0.42,0.57,0.27,0.70,0.40,0.18
1996,0.46,0.32,0.26,0.37,0.24,0.31,0.41
1997,0.52,0.45,0.53,0.36,0.56,0.50,0.27
1998,0.81,0.61,0.72,0.49,0.80,0.68,0.32
1999,0.56,0.39,0.50,0.28,0.73,0.21,0.30
2000,0.55,0.40,0.50,0.29,0.71,0.23,0.31
2001,0.65,0.52,0.64,0.40,0.80,0.39,0.40
2002,0.76,0.60,0.70,0.51,0.82,0.56,0.44
2003,0.74,0.59,0.70,0.48,0.79,0.58,0.39
2004,0.66,0.51,0.65,0.36,0.73,0.51,0.27
2005,0.86,0.65,0.81,0.49,0.98,0.58,0.43
2006,0.76,0.59,0.76,0.42,0.94,0.50,0.36
2007,0.84,0.62,0.81,0.43,1.07,0.42,0.43
2008,0.64,0.49,0.62,0.35,0.85,0.34,0.32
2009,0.78,0.59,0.67,0.51,0.71,0.62,0.42
2010,0.91,0.66,0.85,0.47,0.96,0.64,0.39
2011,0.77,0.55,0.68,0.41,0.89,0.34,0.47
2012,0.75,0.57,0.74,0.40,0.94,0.45,0.35
2013,0.80,0.60,0.72,0.47,0.86,0.50,0.46
2014,0.86,0.68,0.86,0.49,1.01,0.60,0.43
